,instruction,output,input
12,Kubeflow에서 지원하는 노트북 이미지는 어떻게 관리할 수 있나요?,Kubeflow에서 지원하는 노트북 이미지와 그 관리 방법은 How-to Guides에서 상세히 설명되어 있습니다.,
13,Kubeflow를 활용한 머신러닝 프로젝트의 예제는 어디에서 볼 수 있나요?,Kubeflow를 활용한 다양한 머신러닝 프로젝트의 예제는 튜토리얼의 Machine Learning & AI 카테고리에서 확인할 수 있습니다.,
14,Kubeflow를 실행하려면 어떤 사전 작업이 필요한가요?,"Kubeflow를 실행하려면 Kubernetes 클러스터와 네트워크를 설정하고, 카카오클라우드 Kubernetes Engine에서 클러스터를 생성해야 합니다. 또한, File Storage 인스턴스를 생성하고, '프로젝트 멤버' 이상 및 'Kubeflow 관리자 권한'을 가진 사용자 권한을 가져야 합니다.",
15,Kubeflow를 실행할 때 필요한 권한은 무엇인가요?,Kubeflow를 실행하려면 '프로젝트 멤버' 이상 권한과 'Kubeflow 관리자 권한'을 가진 사용자가 필요합니다.,
16,Kubeflow를 사용하기 위해서 어떤 리소스들을 사전 생성해야 하나요?,Kubeflow를 사용하기 위해서는 클러스터와 연결될 노드 풀(예,
17,Kubeflow 클러스터 생성 후 어떤 작업을 진행해야 하나요?,"Kubeflow 클러스터를 생성한 후에는 Kubeflow 리소스를 생성하고, 생성된 클러스터와 File Storage 인스턴스를 연결해야 합니다.",
18,Kubeflow의 상태 및 세부 정보를 어떻게 확인하나요?,"Kubeflow의 상태 및 세부 정보를 확인하려면, Kubeflow 관리 대시보드나 명령어를 사용하여 버전, 클러스터 연결 상태, 사용자 정보 등을 조회할 수 있습니다.",
19,Kubeflow 리소스를 관리할 때 주의해야 할 점은 무엇인가요?,Kubeflow 리소스를 관리할 때는 클러스터 연결 상태와 리소스(예,
20,Kubeflow에서 그룹과 사용자는 어떻게 관리하나요?,"Kubeflow에서 그룹과 사용자는 관리 대시보드에서 생성하고, 각 네임스페이스와 리소스를 할당하여 관리합니다. 각 그룹의 상태와 권한도 관리할 수 있습니다.",
21,Kubeflow에서 그룹이나 사용자의 상태는 어떻게 확인하나요?,"그룹이나 사용자의 상태는 'Active', 'Pending', 'Failed' 등으로 구분되며, 해당 상태를 대시보드나 CLI를 통해 확인할 수 있습니다.",
22,Kubeflow에서 GPU 노드 풀을 사용하는 경우 어떻게 리소스를 관리하나요?,"GPU 노드 풀을 사용하는 경우, MIG(Multi-Instance GPU) 인스턴스 설정과 GPU 사용 현황을 모니터링하여, 리소스가 부족하지 않도록 관리해야 합니다.",
23,Kubeflow에서 GPU 사용 현황은 어디에서 확인할 수 있나요?,"GPU 사용 현황은 Kubeflow의 메트릭 모니터링 화면에서 확인할 수 있으며, 리소스 할당 및 사용량을 실시간으로 추적할 수 있습니다.",
24,Kubeflow에서 쿼터를 어떻게 설정하고 관리하나요?,"쿼터는 네임스페이스와 그룹별로 설정할 수 있으며, CPU, 메모리, GPU 등의 리소스를 기준으로 할당할 수 있습니다. 쿼터를 수정하면 리소스 사용량에 영향을 미칠 수 있습니다.",
25,Kubeflow 쿼터 설정을 통해 어떤 리소스 제한을 관리할 수 있나요?,"Kubeflow 쿼터 설정을 통해 CPU, 메모리, GPU 리소스의 사용량을 제한하고, 리소스를 효율적으로 관리할 수 있습니다.",
26,Kubeflow의 파드 상태는 어떻게 확인하나요?,"Kubeflow 파드 상태는 'Running', 'Pending', 'Failed' 등으로 확인할 수 있으며, 이는 클러스터에서 실행 중인 애플리케이션 파드를 통해 확인할 수 있습니다.",
27,파드 상태가 'Pending'일 경우 어떻게 처리해야 하나요?,"파드 상태가 'Pending'일 경우, 리소스 부족이나 설정 오류가 있을 수 있습니다. 리소스 할당 상태를 점검하고, 필요한 리소스를 추가하거나 파드 설정을 수정해야 합니다.",
28,Kubeflow 대시보드에 접근하는 방법은 무엇인가요?,"Kubeflow 대시보드에는 Kubeflow 인그레스 컨트롤러를 통해 할당된 퍼블릭/프라이빗 IP 또는 DNS를 이용하여 접근할 수 있습니다. 또한, kubectl CLI를 사용하여 포트 포워딩을 통해 Kubeflow 게이트웨이에 접근하는 방법도 가능합니다.",
29,Kubeflow 대시보드에서 사용할 수 있는 주요 기능은 무엇인가요?,"Kubeflow 대시보드는 Notebooks, TensorBoards, Volumes, 모델 배포(Kserve), Training Jobs, Experiments(AutoML 및 KFP), Pipelines, Runs, Recurring Runs, Artifacts, Executions 등을 관리할 수 있는 UI를 제공합니다.",
30,Kubeflow 대시보드 로그인 방법은 무엇인가요?,"사용자는 등록된 이메일과 임시 비밀번호를 이용하여 Kubeflow 대시보드에 로그인한 후, 패스워드를 변경해야 합니다.",
31,TLS 설정이 필요한 이유는 무엇인가요?,"퍼블릭 IP를 통해 Kubeflow 대시보드에 연결할 경우, TLS 설정이 필요합니다. TLS가 설정되지 않으면 Visual Studio 및 RStudio 등의 도구 사용이 원활하지 않을 수 있습니다.",
32,TensorBoard를 설정하는 방법은 무엇인가요?,"TensorBoard를 사용하려면, 대시보드에서 [New TensorBoard] 버튼을 클릭한 후, 로그가 저장된 스토리지를 선택하고, 저장 경로를 입력한 뒤, 필요한 CPU와 메모리를 설정하고 [Create] 버튼을 클릭하면 됩니다.",
33,Manage Group Users 탭의 역할은 무엇인가요?,"Manage Group Users 탭을 통해 그룹 네임스페이스에 사용자를 추가하거나 제거할 수 있으며, Admin 권한이 있는 사용자는 비밀번호를 초기화할 수도 있습니다.",
34,Kubeflow 관련 추가 정보를 얻을 수 있는 곳은 어디인가요?,Kubeflow 서비스와 관련된 추가 정보는 Kubeflow > Central Dashboard 공식 문서 및 튜토리얼의 Machine Learning & AI 카테고리에서 확인할 수 있습니다.,
35,Kubeflow에서 제공하는 노트북 인스턴스는 어떤 환경을 제공하나요?,"Kubeflow의 노트북 인스턴스는 웹 기반의 머신러닝 개발 환경을 제공하며, 도커 이미지를 기반으로 실행됩니다.",
36,Kubeflow에서 제공하는 이미지 레지스트리 엔드포인트는 무엇인가요?,"이미지 레지스트리 엔드포인트는 bigdata-150.kr-central-2.kcr.dev/kc-kubeflow/(이미지명)입니다. 예를 들어, bigdata-150.kr-central-2.kcr.dev/kc-kubeflow/jupyter-scipy",
37,Kubeflow에서 노트북 인스턴스를 생성하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 Notebooks 탭을 클릭하고, [New Notebook] 버튼을 클릭하여 필요한 정보를 입력 후 [LAUNCH] 버튼을 클릭하면 노트북 인스턴스를 생성할 수 있습니다.",
38,CPU 이미지 기반의 노트북 인스턴스를 생성하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 Notebooks 탭을 클릭하고, [New Notebook] 버튼을 클릭하여 필요한 정보를 입력 후 [LAUNCH] 버튼을 클릭하면 CPU 이미지 기반의 노트북 인스턴스를 생성할 수 있습니다.",
39,GPU 이미지 기반의 노트북 인스턴스를 생성하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 Notebooks 탭을 클릭하고, [New Notebook] 버튼을 클릭하여 필요한 정보를 입력 후 [LAUNCH] 버튼을 클릭하면 GPU 이미지 기반의 노트북 인스턴스를 생성할 수 있습니다.",
40,노트북 인스턴스를 생성할 때 CPU와 메모리 값이 무엇에 영향을 미치나요?,"생성하려는 노트북의 CPU와 메모리 값이 Affinity Config에서 선택한 노드 풀의 가용량보다 클 경우, 노트북 인스턴스가 생성되지 않습니다.",
41,Kubeflow에서 노트북 인스턴스에 접속하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 Notebooks 탭을 클릭하고, 생성한 노트북 목록에서 접속할 노트북 항목을 선택한 후 [CONNECT] 버튼을 클릭하면 Jupyter Notebook 인터페이스가 새 탭에서 열립니다.",
42,노트북 인스턴스를 중지하는 이유는 무엇인가요?,"자원 절약, 보안, 비용 절감 등을 위해 노트북 인스턴스를 중지할 수 있습니다. 또한 실행 중인 노트북은 다른 작업에 리소스를 할당할 수 없고 보안상 문제나 비용 증가를 초래할 수 있습니다.",
43,Kubeflow에서 노트북 인스턴스를 중지하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 Notebooks 탭을 클릭하고, 중지할 노트북 항목에서 ◼ (중지) 버튼을 클릭한 후, 노트북 상태가 ""중지됨""으로 변경되는지 확인합니다.",
44,노트북 인스턴스를 삭제하는 이유는 무엇인가요?,"자원 회수, 보안, 비용 절감 등을 위해 노트북 인스턴스를 삭제할 수 있습니다. 삭제된 노트북은 해당 리소스가 회수되어 다른 작업에 할당될 수 있습니다.",
45,Kubeflow에서 노트북 인스턴스를 삭제하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 Notebooks 탭을 클릭하고, 삭제할 노트북 항목에서 휴지통 (삭제) 버튼을 클릭하면 노트북이 삭제됩니다. 삭제된 노트북은 목록에서 사라지게 됩니다.",
46,카카오클라우드의 Kubeflow는 무엇을 돕는 플랫폼인가요?,카카오클라우드의 Kubeflow는 클라우드 네이티브 환경에서 머신러닝 워크플로우를 쉽게 구축하고 실행할 수 있도록 돕는 오픈소스 플랫폼입니다.,
47,Kubeflow는 어떤 기반으로 구축되었나요?,"Kubeflow는 쿠버네티스 기반으로 구축되어, 쿠버네티스의 클러스터 관리 능력을 활용하여 머신러닝 워크플로우를 효율적으로 관리할 수 있게 해줍니다.",
48,Kubeflow는 어떤 기능을 제공하나요?,"Kubeflow는 데이터 전처리, 모델 학습, 모델 서빙 등을 위한 주요 구성 요소를 제공하며, 일관된 인터페이스와 높은 수준의 추상화를 사용하여 개발자가 빠르고 쉽게 ML 모델을 개발할 수 있도록 돕습니다.",
49,Kubeflow의 생명주기에서 사용하는 리소스 정보는 어디서 확인할 수 있나요?,"Kubeflow에서 연결하여 사용하는 클러스터, 노드 풀, 그리고 노드의 상태 정보는 Kubernetes Engine > 리소스 상태 정보에서 확인할 수 있습니다.",
50,Kubeflow 서비스의 컴포넌트는 어떤 특징을 가지고 있나요?,"Kubeflow 서비스의 컴포넌트는 기능적으로 분리된 작은 단위로 구성되어 있으며, ML 워크플로우를 관리하는 필수 요소로 유연성과 확장성을 제공합니다.",
51,Kubeflow의 역할 관리 방식은 어떻게 되나요?,"Kubeflow는 콘솔, 대시보드, 그리고 각 네임스페이스에 접근하고 이를 관리할 수 있는 권한을 차등하여 제공합니다. 역할은 소유자, 사용자, 그룹 사용자로 구분되며, 각 사용자에게 여러 역할을 부여할 수 있습니다.",
52,Kubeflow 소유자 역할을 부여받으려면 어떤 권한이 필요한가요?,Kubeflow 소유자 역할을 받기 위해서는 IAM 프로젝트 멤버 이상의 권한이 필요합니다.,
53,Kubeflow에서 소유자를 제외한 나머지 역할을 부여받으려면 무엇이 필요한가요?,"소유자를 제외한 나머지 역할들은 콘솔 접근 권한이 없으므로, 소유자 등록 또는 IAM 프로젝트 권한이 필요합니다.",
54,Kubeflow의 사용자 역할은 어떻게 관리되나요?,"사용자의 역할은 각 할당된 네임스페이스 안에서 유효하며, 네임스페이스 별로 여러 역할을 가질 수 있습니다. 각 역할의 상세 권한은 표로 제공됩니다.",
55,카카오클라우드의 Kubeflow는 무엇인가요?,카카오클라우드의 Kubeflow는 Kubernetes Engine의 클러스터를 기반으로 클라우드 네이티브 환경에서 머신러닝 워크플로우를 쉽게 구축하고 실행할 수 있도록 돕는 오픈소스 플랫폼입니다.,
56,Kubeflow는 어떤 기능을 제공하나요?,"Kubeflow는 훈련 프로세스를 가속화할 수 있는 다양한 머신러닝 라이브러리와 프레임워크를 지원하며, Kubernetes에서 이식성과 확장성이 뛰어난 머신러닝 워크로드 실행 기능을 제공합니다.",
57,머신러닝 훈련을 위한 데이터 세트가 크면 어떤 어려움이 있나요?,"훈련을 위한 데이터 세트가 수백 GB를 넘으면 훈련이 복잡해지고, 시간이 많이 소요되며, 사용자가 직접 Kubernetes 클러스터를 구성하고 머신러닝 프레임워크를 관리해야 하는 번거로움이 있습니다.",
58,카카오클라우드의 Kubeflow 서비스는 어떤 장점이 있나요?,"카카오클라우드의 Kubeflow 서비스는 머신러닝 워크로드를 더 쉽고 효율적으로 관리할 수 있도록 돕고, 빠른 모델 개발 및 배포를 가능하게 하여 머신러닝 개발 생산성을 향상시킵니다.",
59,Kubeflow는 어떤 분야에서 활용될 수 있나요?,"Kubeflow는 자연어 처리, 이미지 처리, 추천 시스템 등 다양한 분야에서 활용할 수 있습니다.",
60,Kubeflow 서비스는 어떤 사용자들이 활용할 수 있나요?,"Kubeflow 서비스는 머신러닝 엔지니어, 데이터 과학자, 개발자, 인프라 엔지니어, IT 관리자 등 다양한 역할을 가진 사용자들이 활용할 수 있습니다.",
61,Kubeflow는 어떤 플랫폼인가요?,"Kubeflow는 Kubernetes 기반의 무료 오픈소스 머신러닝 플랫폼으로, 분산 머신러닝 작업을 위한 도구를 제공하며 다양한 환경에서 머신러닝 워크플로우를 설정할 수 있습니다.",
62,Kubeflow는 어떤 기능을 통해 머신러닝 작업을 효율적으로 관리하나요?,"Kubeflow는 머신러닝 작업을 간단하게 확장하고 관리할 수 있도록 다양한 머신러닝 라이브러리와 프레임워크를 지원하며, 워크플로우 구성을 위한 다양한 구성 요소를 제공합니다.",
63,Kubeflow에 대한 자세한 사용 가이드는 어디서 확인할 수 있나요?,Kubeflow에 대한 자세한 사용 가이드는 How-to Guides에서 확인할 수 있습니다.,
64,카카오클라우드를 처음 시작하는 사람은 무엇을 참고해야 하나요?,카카오클라우드를 처음 시작하는 사람은 카카오클라우드 시작하기를 참고하면 됩니다.,
65,Kubeflow 서비스의 요금은 어디에서 확인할 수 있나요?,Kubeflow 서비스의 사양 및 요금은 카카오클라우드 사이트의 요금 안내에서 확인할 수 있습니다.,
66,쿼터란 무엇인가요?,쿼터는 카카오클라우드 단일 조직 또는 프로젝트 내에서 생성할 수 있는 각 리소스의 최대량 또는 최대 수량을 제한하는 할당량을 의미합니다.,
67,Kubeflow의 기본 쿼터 정보는 어디서 확인할 수 있나요?,Kubeflow의 기본 쿼터 정보는 카카오클라우드 사이트에서 확인할 수 있습니다.,
68,Kubeflow와 Katib를 사용하여 하이퍼파라미터 튜닝을 수행하기 전에 준비해야 할 것은 무엇인가요?,"하이퍼파라미터 튜닝을 수행하기 전에, MNIST 데이터세트와 실습에 필요한 최소 Kubeflow 환경 사양을 준비해야 합니다.",
69,MNIST 데이터세트는 무엇인가요?,"MNIST 데이터세트는 0부터 9까지 숫자의 손글씨 이미지를 모은 데이터세트로, 총 70,000개의 28x28 픽셀 회색조 이미지로 구성됩니다. 주로 컴퓨터 비전 분야에서 사용됩니다.",
70,Kubeflow 하이퍼파라미터 튜닝을 위한 MIG 설정과 GPU 노드 풀 사양은 어떻게 확인하나요?,"Katib을 사용하기 전에 실습에 적합한 MIG 설정과 GPU 노드 풀 사양을 확인하고, Kubeflow 환경이 준비되지 않았다면, Kubeflow를 이용한 Jupyter Notebook 환경 구성 문서를 참고하여 GPU 파이프라인 노드 풀 설정이 완료된 Kubeflow 환경을 생성해야 합니다.",
71,Kubeflow 하이퍼파라미터 튜닝을 위한 실험을 어떻게 생성하나요?,"Kubeflow 대시보드에서 Experiments (AutoML) 탭을 선택하고, 우측 상단에 위치한 [NEW EXPERIMENT] 버튼을 클릭하여 실험을 생성할 수 있습니다. 그 후, **[Edit and submit YAML]**을 클릭하여 YAML 코드 예제를 붙여넣고 [CREATE] 버튼을 클릭하여 실험을 시작합니다.",
72,실험이 실행된 후 결과는 어떻게 확인하나요?,"실험 실행 후, Kubeflow 대시보드에서 Experiments (AutoML) 탭으로 이동하여 실험 결과를 확인할 수 있습니다. 실험이 성공적으로 실행되면, 해당 실험을 클릭하여 최적의 하이퍼파라미터 값을 볼 수 있습니다.",
73,Jupyter Notebook 환경을 구성하기 전에 준비해야 할 것은 무엇인가요?,"Jupyter Notebook 환경을 구성하기 전에, 카카오클라우드 Kubernetes Engine 서비스와 Kubeflow 서비스를 활용하여 쿠버네티스 클러스터와 파일 스토리지를 생성하고 설정해야 합니다.",
74,Kubeflow 환경을 구축하기 위해 필요한 쿠버네티스 클러스터는 어떻게 생성하나요?,"카카오클라우드 콘솔에서 Container Pack > Kubernetes Engine 메뉴를 클릭하고, [클러스터 생성]을 클릭하여 쿠버네티스 클러스터를 생성합니다. 생성된 클러스터의 상태가 Running으로 변경된 후, kubectl 파일을 설정합니다.",
75,프라이빗 서브넷에서 클러스터를 구성할 경우 인터넷 통신을 위해 어떤 설정이 필요하나요?,"프라이빗 서브넷의 노드는 인터넷과 통신할 수 없으므로, 외부와 통신하려면 NAT Instance를 사용하여 NAT 통신을 설정해야 합니다.",
76,Kubeflow 대시보드에 어떻게 접속하나요?,Kubeflow 대시보드에 접속하는 방법은 두 가지가 있습니다,
77,Jupyter Notebook 인스턴스를 생성하려면 어떻게 해야 하나요?,"Kubeflow 대시보드에서 Notebooks 탭을 선택하고, 우측 상단의 [+ New Notebook] 버튼을 클릭하여 노트북을 생성합니다. 생성 시 GPU 또는 CPU 이미지 기반의 노트북을 선택하고, 필요한 스펙을 설정합니다.",
78,Jupyter Notebook에서 GPU를 사용할 때 어떤 설정이 필요한가요?,"GPU 사용 노트북에서는 환경변수 CUDA_VISIBLE_DEVICES를 0으로 설정해야 합니다. 이를 위해 Python 코드를 통해 GPU가 사용 가능한지 확인할 수 있습니다. 예를 들어, torch.cuda.is_available() 함수를 사용하여 GPU의 사용 가능 여부를 확인할 수 있습니다.",
79,GPU 사용 노트북에서 nvidia 장치를 확인하려면 어떻게 하나요?,"GPU 사용 노트북에서는 Terminal에 접속하여 nvidia-smi 명령어를 실행하면, nvidia 장치를 확인할 수 있습니다.",
80,Kubeflow에서 KServe를 활용하여 모델 서빙 API를 제공하는 과정은 무엇인가요?,"KServe를 사용하여 학습된 모델을 실시간 예측이 가능한 API로 제공하고 관리하는 과정은, 모델을 서빙하는 데 필요한 환경 설정과 리소스 준비부터 시작됩니다. 이후, 모델을 학습하고 서빙 컴포넌트 및 파이프라인을 생성한 후, 모델 서빙 API를 테스트하고, 외부에서 접근할 수 있도록 도메인 주소를 설정합니다.",
81,모델 서빙 API를 구축하려면 어떤 환경 설정이 필요한가요?,"모델 서빙 API를 구축하려면, 도메인 연결 설정과 네임스페이스 쿼터 설정이 필요합니다. 도메인 연결은 선택 사항이며, 네임스페이스 쿼터 설정을 미리 하지 않으면 실습에 어려움이 있을 수 있습니다.",
82,Kubeflow Kserve 실습 예제에서 사용되는 데이터셋은 무엇인가요?,"실습 예제에서는 Yelp에서 주최한 레스토랑 등급 예측 대회의 식당 리뷰 데이터를 사용하여, 리뷰 등급 예측 모델을 구현합니다.",
83,Kubeflow 모델 서빙 API를 외부에서 사용하려면 어떻게 설정하나요?,"Kubeflow 생성 시 도메인 주소를 입력해야 외부에서 모델 서빙 API를 사용할 수 있습니다. 도메인 주소를 입력한 후, 제공된 Python 스크립트를 통해 API를 테스트할 수 있습니다.",
84,Kubeflow 모델 서버를 삭제하려면 어떻게 하나요?,"모델 서버를 삭제하려면, Models 탭에서 삭제하고자 하는 모델 서버 행의 [Delete Server] 버튼을 클릭하면 됩니다. 이 과정은 더 이상 사용하지 않는 모델 서버를 리소스 관리 차원에서 삭제할 때 필요합니다.",
85,Kubeflow Pipeline Run 실행 삭제는 어떻게 하나요?,"실행 삭제는 Runs 탭에서 삭제할 실행을 선택하고 [Archive] 버튼을 클릭하여 실행을 보관한 후, 보관된 실행은 Archived 항목에서 삭제할 수 있습니다. 이때, 해당 실행과 관련된 파드도 함께 삭제됩니다.",
86,Kubeflow 대시보드에서 모델 서빙 API를 테스트하는 방법은 무엇인가요?,"Kubeflow 대시보드에서 모델 서빙 API를 테스트하려면, Models 탭에서 서빙 API를 확인하고, Cluster IP를 활용하여 쿠버네티스 내부 네트워크에서 API를 사용합니다. 이후 모델 서빙 API 테스트 항목을 실행하여 결과를 확인할 수 있습니다.",
87,"MIG 인스턴스는 무엇이고, 병렬 학습에 어떻게 활용되나요?","MIG (Multi-Instance GPU) 인스턴스는 하나의 GPU를 여러 개의 작은 가상 GPU로 분할하여, 병렬 학습이나 여러 작업을 동시에 수행할 수 있도록 지원하는 기술입니다. 이를 통해, 여러 학습 작업을 효율적으로 처리하고, GPU 리소스를 최적화하여 더 빠른 학습 시간을 경험할 수 있습니다.",
88,"Fashion MNIST 데이터셋은 무엇이며, 왜 사용되나요?","Fashion MNIST 데이터셋은 컴퓨터 비전 분야에서 사용되는 벤치마크 데이터셋으로, 10개의 의류 카테고리(운동화, 셔츠, 샌들 등)에 속하는 28x28 픽셀의 회색조 이미지로 구성되어 있습니다. 이 데이터셋은 MNIST 데이터셋과 유사하지만, 의류 이미지로 구성이 되어 있어 다양한 알고리즘을 테스트하기에 적합합니다.",
89,Kubeflow의 Training Operator를 사용하여 병렬 학습을 어떻게 수행하나요?,"Kubeflow에서 Training Operator를 사용하여 병렬 학습을 수행하려면, 먼저 적합한 MIG 설정과 GPU 노드 풀을 준비합니다. 이후, Fashion MNIST 데이터셋을 활용한 TrainingJob을 생성하고, 해당 Job을 통해 모델 학습을 진행합니다. Kubeflow 대시보드에서 학습 과정의 스펙, 로그, 이벤트 등을 모니터링할 수 있습니다.",
90,"Kubeflow Training Operator 실습에 사용할 예제 파일은 무엇이며, 어떻게 업로드하나요?","실습에 사용할 예제 파일은 fashionmnist_pytorch_parallel_train_with_tj.ipynb 파일입니다. 이 파일을 다운로드한 후, 생성한 Jupyter Notebook 인스턴스에 접속하여 파일을 업로드하고 실습을 시작합니다.",
91,"TrainingJob이 생성된 후, Kubeflow 대시보드에서 확인할 수 있는 내용은 무엇인가요?","Kubeflow 대시보드에서 TrainingJob을 생성하면, 해당 Job의 스펙, 로그, 이벤트 등을 확인할 수 있습니다. 또한, GPU 현황 탭을 통해 MIG 인스턴스의 사용 현황을 모니터링하고, 자원 활용 효율성을 검토할 수 있습니다.",
92,MIG 인스턴스를 사용한 병렬 학습의 GPU 자원 분배와 사용 현황은 어떻게 확인하나요?,"카카오클라우드 콘솔에서 Kubeflow 메뉴를 선택한 후, GPU 현황 탭에서 실습에 활용한 MIG 인스턴스의 사용 중인 현황을 확인할 수 있습니다. 이를 통해 병렬 학습 작업에 따른 GPU 자원 분배와 사용량을 모니터링할 수 있습니다.",
93,"TLC Trip Record Data는 무엇인가요, 그리고 왜 사용되나요?","TLC Trip Record Data는 New York City에서 공개한 데이터로, 택시 승차 기록, 거리, 요금, 시간 등 다양한 정보를 포함하고 있습니다. 이 데이터는 택시 요금을 예측하는 모델을 구축하는 데 유용하며, 머신러닝을 통한 예측 모델 구현을 연습하는 데 자주 사용됩니다.",
94,Kubeflow에서 예측 모델을 구현하려면 어떤 과정이 필요하나요?,"Kubeflow에서 예측 모델을 구현하려면, 데이터를 전처리하고, 모델을 학습시키고, 평가하는 과정이 필요합니다. 이를 위해 Jupyter Notebook을 사용하여 데이터 전처리, 모델 학습, 평가를 수행하며, Kubeflow의 파이프라인 기능을 활용해 자동화된 학습 및 예측 프로세스를 구성할 수 있습니다.",
95,"Kubeflow Pipeline 실습을 위한 예제 파일은 무엇인가요, 그리고 어떻게 업로드하나요?","실습에 필요한 예제 파일은 nyc_taxi_pytorch_run_in_notebook.ipynb와 nyc_taxi_pytorch_build_pipeline_cpu.ipynb입니다. 이 파일들을 다운로드한 후, Kubeflow의 Jupyter Notebook 환경에 접속하여 [파일 업로드] 버튼을 클릭하여 업로드하고, 업로드된 파일을 선택하여 실습을 진행합니다.",
96,Kubeflow 실습을 진행할 때 필요한 환경 변수는 무엇인가요?,"실습을 진행할 때는 Kubeflow에 연결된 로드 밸런서의 프라이빗 IP와 Kubeflow에서 사용 중인 이메일 및 비밀번호를 환경 변수로 설정해야 합니다. 이를 통해 Kubeflow와의 연결을 설정하고, 실습을 위한 환경을 구성할 수 있습니다.",
97,실습 후 리소스를 어떻게 정리하나요?,"실습 후에는 리소스를 정리하는 것이 중요합니다. Kubeflow 대시보드에서 Runs 탭을 선택하여 작업이 완료된 실행을 Archived로 이동시키고, Delete 버튼을 클릭하여 해당 실행과 관련된 리소스를 삭제합니다. 이를 통해 불필요한 자원 사용을 방지할 수 있습니다.",
98,Kubeflow 대시보드에서 실습 결과를 어떻게 확인하나요?,"Kubeflow 대시보드에서 실습 결과를 확인하려면, Runs 탭을 사용하여 실행한 작업의 상태와 로그를 확인할 수 있습니다. 실행이 완료되면 해당 실행을 Archived로 이동시키고, 필요한 경우 삭제할 수 있습니다.",
99,"TensorBoard는 무엇인가요, 그리고 왜 사용하는 건가요?","TensorBoard는 머신러닝 모델 학습 과정을 시각적으로 모니터링하고 분석하는 도구입니다. 학습 중의 손실 값, 정확도, 학습 속도 등 다양한 지표들을 실시간으로 확인할 수 있어, 모델의 성능을 개선하고 실험을 효율적으로 관리하는 데 유용합니다.",
100,TensorBoard를 Kubeflow에서 어떻게 설정하나요?,"Kubeflow에서 TensorBoard를 설정하려면, 먼저 Kubeflow 대시보드의 Notebooks 탭에서 새로운 노트북 인스턴스를 생성합니다. 이후, 예제 프로젝트 파일을 다운로드하고 노트북 인스턴스에 업로드하여, 모델 학습 로그를 생성합니다. 그 후, TensorBoards 탭에서 New TensorBoard 버튼을 클릭하여 새로운 TensorBoard 인스턴스를 만들고, 생성된 인스턴스에서 학습 과정을 모니터링합니다.",
